ID,Country,Energy Supply,Energy Supply per Capita,% Renewable
16,Afghanistan,321000000.0,10,78.66928
17,Albania,102000000.0,35,100.0
18,Algeria,1959000000.0,51,0.55101
19,American Samoa,,...,0.641026
20,Andorra,9000000.0,121,88.69565
21,Angola,642000000.0,27,70.90909
22,Anguilla,2000000.0,136,0.0
23,Antigua and Barbuda,8000000.0,84,0.0
24,Argentina,3378000000.0,79,24.06452
25,Armenia,143000000.0,48,28.23606
26,Aruba,12000000.0,120,14.87069
27,Australia,5386000000.0,231,11.81081
28,Austria,1391000000.0,164,72.45281999999999
29,Azerbaijan,567000000.0,60,6.384345
30,Bahamas,45000000.0,118,0.0
31,Bahrain,574000000.0,425,0.0
32,Bangladesh,1625000000.0,10,1.966329
33,Barbados,19000000.0,69,0.0
34,Belarus,1142000000.0,120,0.46338900000000005
35,Belgium,2338000000.0,210,9.959739
36,Belize,13000000.0,39,64.69003000000001
37,Benin,170000000.0,16,0.0
38,Bermuda,6000000.0,88,0.0
39,Bhutan,63000000.0,83,100.0
40,Bolivia,336000000.0,32,31.477120000000003
41,"Bonaire, Sint Eustatius and Saba",5000000.0,213,0.0
42,Bosnia and Herzegovina,266000000.0,70,41.46467
43,Botswana,86000000.0,39,0.131406
44,Brazil,12149000000.0,59,69.64803
45,British Virgin Islands,2000000.0,85,0.0
46,Brunei Darussalam,127000000.0,310,0.045433999999999995
47,Bulgaria,703000000.0,97,17.23461
48,Burkina Faso,164000000.0,10,14.50068
49,Burundi,58000000.0,6,86.79245
50,Cabo Verde,7000000.0,15,21.22762
51,Cambodia,250000000.0,17,57.31159
52,Cameroon,307000000.0,14,70.88626
53,Canada,10431000000.0,296,61.94543
54,Cayman Islands,8000000.0,131,0.0
55,Central African Republic,23000000.0,5,85.63535999999999
56,Chad,77000000.0,6,0.0
57,Chile,1613000000.0,92,28.00657
58,China,127191000000.0,93,19.75491
59,Hong Kong,585000000.0,82,0.0
60,"China, Macao Special Administrative Region",47000000.0,83,0.0
61,Colombia,1513000000.0,32,63.00284
62,Comoros,5000000.0,7,11.62791
63,Congo,102000000.0,23,57.74887
64,Cook Islands,1000000.0,48,0.0
65,Costa Rica,222000000.0,47,88.73642
66,Côte d'Ivoire,547000000.0,25,22.822779999999998
67,Croatia,321000000.0,75,64.28412
68,Cuba,585000000.0,51,0.663532
69,Curaçao,78000000.0,502,0.0
70,Cyprus,82000000.0,71,6.480186
71,Czech Republic,1751000000.0,166,7.067133999999999
72,Democratic People's South Korea,612000000.0,25,70.18029
73,Democratic Republic of the Congo,888000000.0,12,99.5943
74,Denmark,725000000.0,129,33.537659999999995
75,Djibouti,11000000.0,13,0.0
76,Dominica,2000000.0,28,36.63366
77,Dominican Republic,339000000.0,33,11.2506
78,Ecuador,680000000.0,43,47.714859999999994
79,Egypt,3422000000.0,39,8.805713
80,El Salvador,176000000.0,29,56.44505
81,Equatorial Guinea,73000000.0,91,6.363636
82,Eritrea,34000000.0,7,0.550964
83,Estonia,258000000.0,195,4.180791
84,Ethiopia,1394000000.0,15,99.90825
85,Faeroe Islands,9000000.0,179,38.56655
86,Falkland Islands,1000000.0,258,33.33333
87,Fiji,31000000.0,36,62.00466
88,Finland,1374000000.0,252,19.53657
89,France,10597000000.0,166,17.02028
90,French Guiana,13000000.0,52,62.00466
91,French Polynesia,12000000.0,44,26.8556
