,State,RegionName
0,AL,Auburn 
1,AL,Florence 
2,AL,Jacksonville 
3,AL,Livingston 
4,AL,Montevallo 
5,AL,Troy 
6,AL,Tuscaloosa 
7,AL,Tuskegee 
8,AK,Fairbanks 
9,AZ,Flagstaff 
10,AZ,Tempe 
11,AZ,Tucson 
12,AR,Arkadelphia 
13,AR,Conway 
14,AR,Fayetteville 
15,AR,Jonesboro 
16,AR,Magnolia 
17,AR,Monticello 
18,AR,Russellville 
19,AR,Searcy 
20,CA,Angwin 
21,CA,Arcata 
22,CA,Berkeley 
23,CA,Chico 
24,CA,Claremont 
25,CA,Cotati 
26,CA,Davis 
27,CA,Irvine 
28,CA,Isla Vista 
29,CA,"University Park, Los Angeles "
30,CA,Merced 
31,CA,Orange 
32,CA,Palo Alto 
33,CA,Pomona  and formerly Pomona College
34,CA,Redlands 
35,CA,Riverside 
36,CA,Sacramento 
37,CA,"University District, San Bernardino "
38,CA,San Diego 
39,CA,San Luis Obispo 
40,CA,Santa Barbara 
41,CA,Santa Cruz 
42,CA,Turlock 
43,CA,"Westwood, Los Angeles "
44,CA,Whittier 
45,CO,Alamosa 
46,CO,Boulder 
47,CO,Durango 
48,CO,Fort Collins 
49,CO,Golden 
50,CO,Grand Junction 
51,CO,Greeley 
52,CO,Gunnison 
53,CO,"Pueblo, Colorado "
54,CT,Fairfield 
55,CT,Middletown 
56,CT,New Britain 
57,CT,New Haven 
58,CT,New London 
59,CT,Storrs 
60,CT,Willimantic 
61,DE,Dover 
62,DE,Newark 
63,FL,Ave Maria 
64,FL,Boca Raton 
65,FL,Coral Gables 
66,FL,DeLand 
67,FL,Estero 
68,FL,Gainesville 
69,FL,Orlando 
70,FL,Sarasota 
71,FL,St. Augustine 
72,FL,St. Leo 
73,FL,Tallahassee 
74,FL,Tampa 
75,GA,Albany 
76,GA,Athens 
77,GA,Atlanta 
78,GA,Carrollton 
79,GA,Demorest 
80,GA,Fort Valley 
81,GA,Kennesaw 
82,GA,Milledgeville 
83,GA,Mount Vernon 
84,GA,Oxford 
85,GA,Rome 
86,GA,Savannah 
87,GA,Statesboro 
88,GA,Valdosta 
89,GA,Waleska 
90,GA,Young Harris 
91,HI,Manoa 
92,ID,Moscow 
93,ID,Pocatello 
94,ID,Rexburg 
95,IL,Carbondale 
96,IL,Champaign–Urbana 
97,IL,Charleston 
98,IL,DeKalb 
99,IL,Edwardsville 
100,IL,Evanston 
101,IL,Lebanon 
102,IL,Macomb 
103,IL,Normal 
104,IL,Peoria 
105,IN,Bloomington 
106,IN,Crawfordsville 
107,IN,Greencastle 
108,IN,Hanover 
109,IN,Marion 
110,IN,Muncie 
111,IN,Oakland City 
112,IN,Richmond 
113,IN,South Bend 
114,IN,Terre Haute 
115,IN,Upland 
116,IN,Valparaiso 
117,IN,West Lafayette 
118,IA,Ames 
119,IA,Cedar Falls 
120,IA,"Cedar Rapids, Iowa "
121,IA,Decorah 
122,IA,Fayette 
123,IA,Grinnell 
124,IA,Iowa City 
125,IA,Lamoni 
126,IA,"Mount Vernon, "
127,IA,Orange City 
128,IA,Sioux Center 
129,IA,Storm Lake 
130,IA,Waverly 
131,KS,Baldwin City 
132,KS,Emporia 
133,KS,Hays 
134,KS,Lawrence 
135,KS,Manhattan 
136,KS,Pittsburg 
137,KY,Bowling Green 
138,KY,Columbia 
139,KY,Georgetown 
140,KY,Highland Heights 
141,KY,"Lexington (University of Kentucky, Transylvania University"
142,KY,Louisville 
143,KY,Morehead 
144,KY,Murray 
145,KY,Richmond 
146,KY,Williamsburg 
147,KY,Wilmore 
148,LA,Baton Rouge 
149,LA,Grambling 
150,LA,Hammond 
151,LA,Lafayette 
152,LA,Monroe 
153,LA,Natchitoches 
154,LA,Ruston 
155,LA,Thibodaux 
156,ME,Augusta 
157,ME,Bar Harbor 
158,ME,Brunswick 
159,ME,Farmington 
160,ME,Fort Kent 
161,ME,Gorham 
162,ME,"Lewiston, Maine "
163,ME,Orono 
164,ME,Waterville 
165,MD,Annapolis 
166,MD,Chestertown 
167,MD,College Park 
168,MD,Cumberland 
169,MD,Emmitsburg 
170,MD,Frostburg 
171,MD,Princess Anne 
172,MD,Towson 
173,MD,Salisbury 
174,MD,Westminster 
175,MA,Boston 
176,MA,Bridgewater 
177,MA,Cambridge 
178,MA,Chestnut Hill 
179,MA,The Colleges of Worcester Consortium:
180,MA,Dudley 
181,MA,North Grafton 
182,MA,Paxton 
183,MA,Worcester 
184,MA,The Five College Region of Western Massachusetts:
185,MA,Amherst 
186,MA,Northampton 
187,MA,South Hadley 
188,MA,Fitchburg 
189,MA,North Adams 
190,MA,Springfield 
191,MA,Waltham 
192,MA,Williamstown 
193,MA,Framingham 
194,MI,Adrian 
195,MI,Albion 
196,MI,Allendale 
197,MI,Alma 
198,MI,Ann Arbor 
199,MI,Berrien Springs 
200,MI,Big Rapids 
201,MI,East Lansing 
202,MI,Flint 
203,MI,Hillsdale 
