,Environmental Indicators: Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5
16,Afghanistan,321,10,78.66928
17,Albania,102,35,100
18,Algeria,1959,51,0.55101
19,American Samoa,...,...,0.641026
20,Andorra,9,121,88.69565
21,Angola,642,27,70.90909
22,Anguilla,2,136,0
23,Antigua and Barbuda,8,84,0
24,Argentina,3378,79,24.06452
25,Armenia,143,48,28.23606
26,Aruba,12,120,14.87069
27,Australia1,5386,231,11.81081
28,Austria,1391,164,72.45282
29,Azerbaijan,567,60,6.384345
30,Bahamas,45,118,0
31,Bahrain,574,425,0
32,Bangladesh,1625,10,1.966329
33,Barbados,19,69,0
34,Belarus,1142,120,0.463389
35,Belgium,2338,210,9.959739
36,Belize,13,39,64.69003
37,Benin,170,16,0
38,Bermuda,6,88,0
39,Bhutan,63,83,100
40,Bolivia (Plurinational State of),336,32,31.47712
41,"Bonaire, Sint Eustatius and Saba",5,213,0
42,Bosnia and Herzegovina,266,70,41.46467
43,Botswana,86,39,0.131406
44,Brazil,12149,59,69.64803
45,British Virgin Islands,2,85,0
46,Brunei Darussalam,127,310,0.045434
47,Bulgaria,703,97,17.23461
48,Burkina Faso,164,10,14.50068
49,Burundi,58,6,86.79245
50,Cabo Verde,7,15,21.22762
51,Cambodia,250,17,57.31159
52,Cameroon,307,14,70.88626
53,Canada,10431,296,61.94543
54,Cayman Islands,8,131,0
55,Central African Republic,23,5,85.63536
56,Chad,77,6,0
57,Chile,1613,92,28.00657
58,China2,127191,93,19.75491
59,"China, Hong Kong Special Administrative Region3",585,82,0
60,"China, Macao Special Administrative Region4",47,83,0
61,Colombia,1513,32,63.00284
62,Comoros,5,7,11.62791
63,Congo,102,23,57.74887
64,Cook Islands,1,48,0
65,Costa Rica,222,47,88.73642
66,Côte d'Ivoire,547,25,22.82278
67,Croatia,321,75,64.28412
68,Cuba,585,51,0.663532
69,Curaçao,78,502,0
70,Cyprus,82,71,6.480186
71,Czech Republic,1751,166,7.067134
72,Democratic People's Republic of Korea,612,25,70.18029
73,Democratic Republic of the Congo,888,12,99.5943
74,Denmark5,725,129,33.53766
75,Djibouti,11,13,0
76,Dominica,2,28,36.63366
77,Dominican Republic,339,33,11.2506
78,Ecuador,680,43,47.71486
79,Egypt,3422,39,8.805713
80,El Salvador,176,29,56.44505
81,Equatorial Guinea,73,91,6.363636
82,Eritrea,34,7,0.550964
83,Estonia,258,195,4.180791
84,Ethiopia,1394,15,99.90825
85,Faeroe Islands,9,179,38.56655
86,Falkland Islands (Malvinas),1,258,33.33333
87,Fiji,31,36,62.00466
88,Finland,1374,252,19.53657
89,France6,10597,166,17.02028
90,French Guiana,13,52,62.00466
91,French Polynesia,12,44,26.8556
92,Gabon,99,60,37.5
93,Gambia,14,7,0
94,Georgia,163,40,82.22487
95,Germany,13261,165,17.90153
96,Ghana,316,12,63.10263
97,Gibraltar,8,245,0
98,Greece,993,90,24.79528
99,Greenland7,9,166,78.125
100,Grenada,5,43,0
101,Guadeloupe,33,70,14.81481
102,Guam,...,...,0
103,Guatemala,452,29,49.52168
104,Guernsey,0,6,0
105,Guinea,145,12,48.44221
106,Guinea-Bissau,29,17,0
107,Guyana,34,45,0
108,Haiti,172,16,12.76018
109,Honduras,217,28,37.76319
110,Hungary,947,95,3.263634
111,Iceland,312,957,99.9724
112,India,33195,26,14.96908
113,Indonesia8,8754,35,12.18904
114,Iran (Islamic Republic of),9172,119,5.707721
115,Iraq,2077,61,7.871554
116,Ireland,548,117,20.92106
117,Isle of Man,0,4,0.793651
118,Israel,997,128,0.872525
119,Italy9,6530,109,33.66723
120,Jamaica,108,39,5.615602
121,Japan10,18984,149,10.23282
122,Jersey,3,34,0
123,Jordan,325,45,0.335979
124,Kazakhstan,3548,208,8.112784
125,Kenya,873,20,73.7571
126,Kiribati,1,8,0
127,Kuwait11,1475,410,0
128,Kyrgyzstan,167,29,93.47655
129,Lao People's Democratic Republic,85,13,93.29009
130,Latvia,183,91,48.83234
131,Lebanon,289,55,6.610478
132,Lesotho,48,23,100
133,Liberia,83,19,0
134,Libya,707,113,0
135,Liechtenstein,3,79,96.47059
136,Lithuania,282,95,41.03318
137,Luxembourg,168,307,45.53324
138,Madagascar,166,7,50.81556
139,Malawi,101,6,89.13565
140,Malaysia,3417,116,7.754589
141,Maldives,15,43,0
142,Mali,66,4,64.76821
143,Malta,31,75,1.419698
144,Marshall Islands,1,28,0
145,Martinique,33,84,2.60771
146,Mauritania,51,13,0
147,Mauritius,58,46,3.531856
148,Mexico,7944,64,12.9134
149,Micronesia (Federated States of),2,21,2.941176
150,Mongolia,475,166,0
151,Montenegro,42,67,65.58152
152,Montserrat,1,153,0
153,Morocco,796,23,15.8918
154,Mozambique,469,18,94.63087
155,Myanmar,682,13,72.04213
156,Namibia,63,27,95.79439
157,Nauru,1,60,0
158,Nepal,458,16,99.68051
159,Netherlands12,3199,190,6.324659
160,New Caledonia,51,200,20.43097
161,New Zealand,876,196,72.87313
162,Nicaragua,149,25,40.76387
163,Niger,87,5,0
164,Nigeria,5589,32,18.39025
165,Niue,0,65,0
166,Northern Mariana Islands,...,...,0
167,Norway,1388,273,97.63558
168,Oman,1015,260,0
169,Pakistan,2868,16,31.87684
170,Palau,3,152,18.75
171,Panama,158,42,57.50948
172,Papua New Guinea,144,20,23.94636
173,Paraguay,228,35,99.99503
174,Peru,858,28,51.96861
175,Philippines,1781,18,26.17264
176,Poland,4121,107,5.537899
177,Portugal13,899,86,53.3403
178,Puerto Rico,56,15,1.080808
179,Qatar,1396,664,0
180,Republic of Korea,11007,221,2.279353
181,Republic of Moldova,93,23,5.082873
182,Réunion,59,70,28.29719
183,Romania,1339,68,34.3845
184,Russian Federation,30709,214,17.28868
185,Rwanda,95,9,35.83535
186,Saint Helena,0,40,9.090909
187,Saint Kitts and Nevis,4,73,0
188,Saint Lucia,6,33,0
189,Saint Pierre and Miquelon,1,162,2.12766
190,Saint Vincent and the Grenadines,3,28,16.66667
191,Samoa,4,22,31.35593
192,Sao Tome and Principe,3,14,10.44776
193,Saudi Arabia14,7985,264,0.000352
194,Senegal,154,11,1.998237
195,Serbia15,618,69,27.21619
