"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-11-30,102001,"United States",0,222800,0.00541516245487365,0.016887266088544,0.0773694390715667,,,"2018-11","2018-Q4",222800,0,"2018-11"
2018-11-30,9,"California",1,547900,0.00311241303551813,0.00828119249171881,0.0564982645584265,,,"2018-11","2018-Q4",547900,0,"2018-11"
2018-11-30,54,"Texas",2,191900,0.00629260618772942,0.0202020202020202,0.0756726457399103,,,"2018-11","2018-Q4",191900,0,"2018-11"
2018-11-30,43,"New York",3,287900,0.005588543485854,0.0209219858156028,0.0465285350781534,,,"2007-05","2007-Q2",305200,-0.0566841415465269,"2005-11"
2018-11-30,14,"Florida",4,230000,0.00392841553906591,0.0150044130626655,0.0808270676691729,,,"2006-08","2006-Q3",258900,-0.111626110467362,"2005-10"
2018-11-30,21,"Illinois",5,178100,0.00507900677200903,0.0125071063104036,0.04518779342723,,,"2007-04","2007-Q2",203900,-0.126532614026484,"2004-10"
2018-11-30,47,"Pennsylvania",6,171500,0.00351082504388531,0.0106069534472599,0.0553846153846154,,,"2018-11","2018-Q4",171500,0,"2018-11"
2018-11-30,44,"Ohio",7,137400,0.00585651537335286,0.0230826507818317,0.0700934579439252,,,"2018-11","2018-Q4",137400,0,"2018-11"
2018-11-30,30,"Michigan",8,149100,0.00743243243243243,0.0247422680412371,0.093108504398827,,,"2018-11","2018-Q4",149100,0,"2018-11"
2018-11-30,16,"Georgia",9,184300,0.0115257958287596,0.0371412492965673,0.115617433414044,,,"2018-11","2018-Q4",184300,0,"2018-11"
2018-11-30,36,"North Carolina",10,180300,0.00726256983240223,0.0255972696245734,0.086144578313253,,,"2018-11","2018-Q4",180300,0,"2018-11"
2018-11-30,40,"New Jersey",11,323600,0.00372208436724566,0.0128325508607199,0.0620282244830981,,,"2006-08","2006-Q3",375900,-0.139132748071296,"2005-03"
2018-11-30,56,"Virginia",12,255400,0.00353634577603143,0.0118858954041204,0.0390561432058584,,,"2007-04","2007-Q2",265600,-0.0384036144578313,"2005-10"
2018-11-30,59,"Washington",13,379300,0.00556733828207847,0.015528781793842,0.0790896159317212,,,"2018-11","2018-Q4",379300,0,"2018-11"
2018-11-30,26,"Massachusetts",14,404500,0.00422045680238332,0.0122622622622623,0.0583464154892726,,,"2018-11","2018-Q4",404500,0,"2018-11"
2018-11-30,22,"Indiana",15,140700,0.0100502512562814,0.031524926686217,0.108747044917258,,,"2018-11","2018-Q4",140700,0,"2018-11"
2018-11-30,8,"Arizona",16,248600,0.00688537869582827,0.0222039473684211,0.0832244008714597,,,"2006-06","2006-Q2",269400,-0.0772086117297699,"2005-10"
2018-11-30,53,"Tennessee",17,163800,0.00552486187845304,0.0218340611353712,0.092,,,"2018-11","2018-Q4",163800,0,"2018-11"
2018-11-30,32,"Missouri",18,158800,0.00825396825396825,0.0245161290322581,0.0884167237834133,,,"2018-11","2018-Q4",158800,0,"2018-11"
2018-11-30,27,"Maryland",19,287800,0.00278745644599303,0.0105337078651685,0.0484517304189435,,,"2006-11","2006-Q4",334900,-0.140638996715437,"2005-05"
2018-11-30,60,"Wisconsin",20,184300,0.00600436681222707,0.0233203775680178,0.0677867902665122,,,"2018-11","2018-Q4",184300,0,"2018-11"
2018-11-30,31,"Minnesota",21,231900,0.00607375271149675,0.0184453227931489,0.0662068965517241,,,"2018-11","2018-Q4",231900,0,"2018-11"
2018-11-30,10,"Colorado",22,372300,0.00540102619497705,0.0158253751705321,0.0682926829268293,,,"2018-11","2018-Q4",372300,0,"2018-11"
2018-11-30,4,"Alabama",23,129800,0.00542215336948102,0.0148553557466771,0.0736145574855252,,,"2018-11","2018-Q4",129800,0,"2018-11"
2018-11-30,51,"South Carolina",24,164100,0.00551470588235294,0.0224299065420561,0.0788954635108481,,,"2018-11","2018-Q4",164100,0,"2018-11"
2018-11-30,25,"Louisiana",25,147800,0.00339443312966735,0.0130226182316655,0.0415785764622974,,,"2018-11","2018-Q4",147800,0,"2018-11"
2018-11-30,24,"Kentucky",26,143400,0.00490539593552908,0.0206405693950178,0.0685543964232489,,,"2018-11","2018-Q4",143400,0,"2018-11"
2018-11-30,46,"Oregon",27,340700,0.00412614205717654,0.010679323642836,0.0610401744004983,,,"2018-11","2018-Q4",340700,0,"2018-11"
2018-11-30,45,"Oklahoma",28,122300,0.0065843621399177,0.0183180682764363,0.0552200172562554,,,"2018-11","2018-Q4",122300,0,"2018-11"
2018-11-30,11,"Connecticut",29,242200,0.000826446280991736,0.00497925311203319,0.0293242668933277,,,"2006-06","2006-Q2",290100,-0.165115477421579,"2004-05"
2018-11-30,19,"Iowa",30,142000,0.00424328147100424,0.0171919770773639,0.0456553755522828,,,"2018-11","2018-Q4",142000,0,"2018-11"
2018-11-30,34,"Mississippi",31,125800,0.00801282051282051,0.0219333874898457,0.0779777206512425,,,"2018-11","2018-Q4",125800,0,"2018-11"
2018-11-30,6,"Arkansas",32,124200,0.00566801619433198,0.016366612111293,0.0660944206008584,,,"2018-11","2018-Q4",124200,0,"2018-11"
2018-11-30,23,"Kansas",33,138500,0.00435097897026831,0.0168869309838473,0.0572519083969466,,,"2018-11","2018-Q4",138500,0,"2018-11"
2018-11-30,55,"Utah",34,329500,0.010116492949111,0.035512256442489,0.144494616186176,,,"2018-11","2018-Q4",329500,0,"2018-11"
2018-11-30,42,"Nevada",35,289400,0.00836236933797909,0.0313613684960798,0.133124510571652,,,"2006-06","2006-Q2",319100,-0.0930742713882795,"2005-02"
